N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,600",100,+0.12%,100,"4,871,343","5,969,783",54.58,"6,693,214",21.24,9.99,
2,SK하이닉스,"133,500","1,500",-1.11%,"5,000","971,883","728,002",50.23,"1,912,394",20.44,9.53,
3,NAVER,"377,000","6,000",-1.57%,100,"619,273","164,263",57.12,"360,479",61.83,15.22,
4,삼성전자우,"73,900",100,+0.14%,100,"608,113","822,887",78.10,"707,364",19.24,N/A,
5,LG화학,"803,000","1,000",+0.12%,"5,000","566,857","70,592",44.12,"145,957",122.61,2.93,
6,삼성바이오로직스,"744,000","19,000",+2.62%,"2,500","492,268","66,165",10.23,"33,688",204.28,N/A,
7,현대차,"216,500","1,000",+0.46%,"5,000","462,592","213,668",30.66,"737,549",42.10,2.04,
8,삼성SDI,"655,000","8,000",+1.24%,"5,000","450,408","68,765",43.15,"172,934",80.21,4.54,
9,셀트리온,"329,000","15,000",+4.78%,"1,000","444,241","135,028",20.91,"1,029,741",88.51,16.68,
10,카카오,"488,500","6,500",-1.31%,500,"433,528","88,747",33.50,"190,507",275.06,2.70,
11,기아차,"81,300",700,+0.87%,"5,000","329,560","405,363",33.90,"1,459,504",22.15,5.05,
12,POSCO,"329,000","11,000",+3.46%,"5,000","286,845","87,187",53.83,"285,349",17.90,3.61,
13,현대모비스,"287,000","3,500",+1.23%,"5,000","272,056","94,793",39.68,"144,861",17.85,4.66,
14,LG생활건강,"1,539,000","15,000",+0.98%,"5,000","240,364","15,618",45.59,"10,840",34.19,17.92,
15,LG전자,"141,000","2,000",-1.40%,"5,000","230,743","163,648",30.93,"650,899",12.95,13.23,
16,삼성물산,"123,000",0,0.00%,100,"229,871","186,887",14.91,"215,756",22.49,3.81,
17,KB금융,"53,100",100,-0.19%,"5,000","220,794","415,808",68.76,"651,712",6.39,8.53,
18,SK텔레콤,"271,500","2,500",-0.91%,500,"219,225","80,746",37.73,"222,118",14.57,6.44,
19,SK이노베이션,"207,500","1,500",-0.72%,"5,000","191,866","92,466",22.61,"249,994",-8.95,-13.58,
20,SK,"272,500","3,000",-1.09%,200,"191,732","70,360",21.33,"220,091",102.06,1.11,
21,신한지주,"36,500",50,-0.14%,"5,000","188,559","516,600",59.93,"918,145",5.41,8.20,
22,엔씨소프트,"832,000","66,000",-7.35%,500,"182,657","21,954",51.03,"150,563",31.10,20.83,
23,삼성생명,"76,200","1,000",-1.30%,500,"152,400","200,000",12.77,"234,603",12.04,3.53,
24,아모레퍼시픽,"259,000","1,000",+0.39%,500,"151,407","58,458",33.22,"55,522",508.84,0.78,
